行政區別,村里別,第7案,第8案,第9案,第10案,第11案,第12案,第13案,第14案,第15案,第16案
　板橋區,福德里,0.788921527,0.759656652,0.778526316,0.722702278,0.681782334,0.618821669,0.463665087,0.378934625,0.357462383,0.600852878
　板橋區,景星里,0.747547417,0.732,0.76119403,0.660836977,0.638456752,0.591798107,0.3328125,0.377874456,0.36450993,0.617267165
　板橋區,福星里,0.759146341,0.754007398,0.76937046,0.680090754,0.64783105,0.608919383,0.47627024,0.365152386,0.391962726,0.596330275
　板橋區,鄉雲里,0.759625963,0.756431308,0.765875207,0.690488984,0.646453709,0.596122779,0.472814499,0.476008724,0.355978261,0.587337479
　板橋區,廣德里,0.765018254,0.772712035,0.782306163,0.686042897,0.662750079,0.620050283,0.461634826,0.362970045,0.354328165,0.578805265
　板橋區,大豐里,0.784755513,0.76419214,0.78362853,0.717857143,0.673505798,0.626570916,0.459713518,0.344404004,0.346489215,0.610243902
　板橋區,重慶里,0.780890052,0.7678477,0.779852709,0.693599416,0.653438501,0.607416564,0.426387176,0.342541436,0.363798371,0.592080787
　板橋區,仁愛里,0.803957947,0.784400761,0.787747525,0.729885057,0.691108545,0.654892878,0.403073286,0.33847981,0.322754491,0.587641866
　板橋區,和平里,0.817330211,0.791814947,0.824540605,0.696022727,0.667822068,0.621809745,0.401847575,0.347976879,0.359347699,0.592592593
　板橋區,廣福里,0.756837099,0.741798299,0.727923628,0.698930782,0.655599325,0.617366947,0.468624064,0.350085665,0.356441363,0.595498783
　板橋區,五權里,0.769549456,0.761582509,0.78024819,0.71278626,0.673557692,0.626095424,0.531475252,0.331680714,0.348530902,0.574262735
　板橋區,華興里,0.77081138,0.740779768,0.781201044,0.678696742,0.645937813,0.601507538,0.462925852,0.383625129,0.38394683,0.5921875
　板橋區,華貴里,0.794979079,0.765611634,0.770505385,0.645833333,0.659253376,0.617834395,0.449756888,0.329258354,0.354440789,0.598452279
　板橋區,華福里,0.704422869,0.724075744,0.77559727,0.70292887,0.660862355,0.629815745,0.486324786,0.376521739,0.385615251,0.558394161
　板橋區,華德里,0.772112055,0.753110048,0.774264938,0.694654183,0.654921021,0.597493888,0.447811448,0.350310559,0.359962698,0.571473751
　板橋區,華東里,0.774521184,0.775364475,0.771965318,0.684827946,0.640022204,0.593619972,0.420565985,0.366880401,0.381085618,0.59807074
　板橋區,信義里,0.762493283,0.762532982,0.774025974,0.706422018,0.660330165,0.621432148,0.466666667,0.335546476,0.35022579,0.548098434
　板橋區,浮洲里,0.761266748,0.758535071,0.745073892,0.711666667,0.669421488,0.610712314,0.511299435,0.350746269,0.36415853,0.562003665
　板橋區,華中里,0.768687708,0.738377008,0.738153595,0.698828125,0.640711462,0.586412396,0.549151204,0.326464646,0.386317083,0.566694987
